,0
2021-07-04 07:00:00,0.108619153
2021-07-04 07:15:00,0.429317837
2021-07-04 07:30:00,0.478933955
2021-07-04 07:45:00,1.087819954
2021-07-04 08:00:00,1.498712359
2021-07-04 08:15:00,1.870436706
2021-07-04 08:30:00,1.760561075
2021-07-04 08:45:00,1.76075763
2021-07-04 09:00:00,1.590099807
2021-07-04 09:15:00,1.606169258
2021-07-04 09:30:00,1.478868251
2021-07-04 09:45:00,1.408339141
2021-07-04 10:00:00,1.43608347
2021-07-04 10:15:00,1.33749048
2021-07-04 10:30:00,1.267806705
2021-07-04 10:45:00,1.138869929
2021-07-04 11:00:00,1.066438507
2021-07-04 11:15:00,1.004336605
2021-07-04 11:30:00,0.960616157
2021-07-04 11:45:00,0.727192966
2021-07-04 12:00:00,0.570106063
2021-07-04 12:15:00,0.350125386
2021-07-04 12:30:00,0.161969184
2021-07-04 12:45:00,-0.191296778
2021-07-04 13:00:00,-0.531221216
2021-07-04 13:15:00,-0.65119205
2021-07-04 13:30:00,-0.641498779
2021-07-04 13:45:00,-0.628331421
2021-07-04 14:00:00,-0.693187181
2021-07-04 14:15:00,-0.581922326
2021-07-04 14:30:00,-0.464128299
2021-07-04 14:45:00,-0.450607881
2021-07-04 15:00:00,-0.395335661
2021-07-04 15:15:00,-0.541683346
2021-07-04 15:30:00,-0.559185861
2021-07-04 15:45:00,-0.394171973
2021-07-04 16:00:00,-0.426254893
2021-07-04 16:15:00,-0.394655586
2021-07-04 16:30:00,-0.447819711
2021-07-04 16:45:00,-0.569711258
2021-07-04 17:00:00,-0.605456742
2021-07-04 17:15:00,-0.665685757
2021-07-04 17:30:00,-0.418093322
2021-07-04 17:45:00,-0.208058103
2021-07-04 18:00:00,-0.385503028
2021-07-04 18:15:00,-0.443356183
2021-07-04 18:30:00,-0.502375838
2021-07-04 18:45:00,-0.485101944
2021-07-04 19:00:00,-0.599154041
2021-07-04 19:15:00,-0.500331365
2021-07-04 19:30:00,-0.561962188
2021-07-04 19:45:00,-0.569221832
2021-07-04 20:00:00,-0.772066473
2021-07-04 20:15:00,-0.751952713
2021-07-04 20:30:00,-0.730021496
2021-07-04 20:45:00,-0.41849607
2021-07-04 21:00:00,-0.24678143
2021-07-04 21:15:00,0.328335563
2021-07-04 21:30:00,1.51421238
2021-07-04 21:45:00,2.150569955
2021-07-04 22:00:00,1.886239881
2021-07-04 22:15:00,1.813743016
2021-07-04 22:30:00,2.126193717
2021-07-04 22:45:00,1.887911758
2021-07-04 23:00:00,1.778348509
2021-07-04 23:15:00,1.715856367
2021-07-04 23:30:00,1.381385954
2021-07-04 23:45:00,1.692395544
2021-07-05 00:00:00,1.660412381
2021-07-05 00:15:00,1.700965404
2021-07-05 00:30:00,1.392162098
2021-07-05 00:45:00,1.122789395
2021-07-05 01:00:00,0.792807163
2021-07-05 01:15:00,0.986553711
2021-07-05 01:30:00,0.816584408
2021-07-05 01:45:00,0.610288952
2021-07-05 02:00:00,0.384248831
2021-07-05 02:15:00,0.10450009
2021-07-05 02:30:00,-0.358299776
2021-07-05 02:45:00,-0.674093969
2021-07-05 03:00:00,-0.684564521
2021-07-05 03:15:00,-0.672995058
2021-07-05 03:30:00,-0.669481959
2021-07-05 03:45:00,-0.466254881
2021-07-05 04:00:00,-0.303767331
