Sample time,Discharge,Stage (m)
3/30/2020 23:01,-0.243884275,-0.846994057
3/30/2020 23:16,-0.024451535,-0.783174353
3/30/2020 23:31,0.138493917,-0.729895922
3/30/2020 23:46,0.144541414,-0.682542973
3/31/2020 0:01,0.132438088,-0.63839029
3/31/2020 0:16,-0.378970085,-0.598285364
3/31/2020 0:31,-0.619464776,-0.559963832
3/31/2020 0:46,-0.540046226,-0.523436476
3/31/2020 1:01,-0.353765043,-0.488400345
3/31/2020 1:16,-0.300692438,-0.456341573
3/31/2020 1:31,0.051404884,-0.427492192
3/31/2020 1:46,0.397030607,-0.400208542
3/31/2020 2:01,0.053529449,-0.372667785
3/31/2020 2:16,-0.012636561,-0.345838435
3/31/2020 2:31,0.032794133,-0.318830055
3/31/2020 2:46,0.149765152,-0.292011251
3/31/2020 3:01,0.389122412,-0.266978537
3/31/2020 3:16,-0.302539906,-0.242047195
3/31/2020 3:31,-0.01380239,-0.218045297
3/31/2020 3:46,0.532433343,-0.195561038
3/31/2020 4:01,-0.94582639,-0.174774961
3/31/2020 4:16,-0.014370648,-0.15656485
3/31/2020 4:31,0.397256333,-0.140938846
3/31/2020 4:46,-0.196231714,-0.128399302
3/31/2020 5:01,0.350757445,-0.118531258
3/31/2020 5:16,0.06382293,-0.112827102
3/31/2020 5:31,0.35163881,-0.11456679
3/31/2020 5:46,1.386801888,-0.127802464
3/31/2020 6:01,1.792640367,-0.158248332
3/31/2020 6:16,1.871236386,-0.197558539
3/31/2020 6:31,2.106491292,-0.241310719
3/31/2020 6:46,2.016958257,-0.28800802
3/31/2020 7:01,1.973437686,-0.33547896
3/31/2020 7:16,1.775616473,-0.383370389
3/31/2020 7:31,1.669937899,-0.432543778
3/31/2020 7:46,1.464524551,-0.483516521
3/31/2020 8:01,1.443356405,-0.536361851
3/31/2020 8:16,1.491188754,-0.591171801
3/31/2020 8:31,1.190085107,-0.648991939
3/31/2020 8:46,1.210493353,-0.710299505
3/31/2020 9:01,1.237624107,-0.773192173
3/31/2020 9:16,1.268349415,-0.838334009
3/31/2020 9:31,1.369566677,-0.904831662
3/31/2020 9:46,1.240046085,-0.971022336
3/31/2020 10:01,1.106658291,-1.035669285
3/31/2020 10:16,0.910689406,-1.092861922
3/31/2020 10:31,0.738001383,-1.132521694
3/31/2020 10:46,0.494000256,-1.143284121
3/31/2020 11:01,0.226949468,-1.108794413
3/31/2020 11:16,-0.055279783,-1.035016722
3/31/2020 11:31,-0.232501196,-0.953415758
3/31/2020 11:46,-0.266765058,-0.872182867
3/31/2020 12:01,-0.193294232,-0.800417868
3/31/2020 12:16,-0.074067611,-0.742584882
3/31/2020 12:31,0.192938681,-0.699767418
3/31/2020 12:46,0.337416656,-0.66773029
3/31/2020 13:01,0.256794172,-0.639820026
3/31/2020 13:16,-0.211383531,-0.607953539
3/31/2020 13:31,0.177322863,-0.574819895
3/31/2020 13:46,-0.455514061,-0.540187796
3/31/2020 14:01,-0.348633691,-0.507022156
3/31/2020 14:16,-0.113244198,-0.474953444
3/31/2020 14:31,0.50950496,-0.443402872
3/31/2020 14:46,0.073242999,-0.413994183
3/31/2020 15:01,-0.164575515,-0.386268139
3/31/2020 15:16,0.120891664,-0.356118848
3/31/2020 15:31,-0.466556101,-0.328140179
3/31/2020 15:46,-0.1287023,-0.300617507
3/31/2020 16:01,0.010261398,-0.275492374
3/31/2020 16:16,-0.253185843,-0.249002208
3/31/2020 16:31,0.08366622,-0.225447202
3/31/2020 16:46,-0.013928959,-0.204306628
3/31/2020 17:01,0.035914317,-0.185045852
3/31/2020 17:16,0.996020228,-0.170048973
3/31/2020 17:31,0.240377173,-0.156793984
3/31/2020 17:46,0.036873941,-0.144391314
3/31/2020 18:01,0.14091289,-0.12963468
3/31/2020 18:16,0.587541665,-0.113598071
3/31/2020 18:31,0.798527418,-0.110649465
3/31/2020 18:46,1.343117803,-0.118134382
3/31/2020 19:01,1.9349924,-0.146092855
3/31/2020 19:16,2.415042739,-0.183069177
3/31/2020 19:31,2.374081029,-0.224501235
3/31/2020 19:46,2.283014693,-0.267050305
3/31/2020 20:01,2.282533983,-0.311554387
3/31/2020 20:16,2.031802396,-0.357254787
3/31/2020 20:31,2.158394522,-0.403063025
3/31/2020 20:46,2.106008182,-0.44901324
3/31/2020 21:01,1.832763342,-0.494591549
3/31/2020 21:16,1.825597664,-0.540143562
3/31/2020 21:31,1.500642724,-0.583582533
3/31/2020 21:46,1.538220134,-0.625788939
3/31/2020 22:01,1.347081632,-0.665401834
3/31/2020 22:16,1.284494781,-0.704126951
3/31/2020 22:31,0.85522116,-0.737104573
3/31/2020 22:46,0.852299791,-0.761488296
3/31/2020 23:01,0.794745277,-0.774651891
3/31/2020 23:16,0.5781798,-0.767056081
3/31/2020 23:31,0.362886365,-0.746249712
3/31/2020 23:46,0.255573915,-0.720531374
4/1/2020 0:01,0.024509533,-0.686841283
4/1/2020 0:16,-0.099480921,-0.633915785
4/1/2020 0:31,-0.255189336,-0.57343791
4/1/2020 0:46,-0.168090024,-0.521196891
4/1/2020 1:01,-0.132981981,-0.480909621
4/1/2020 1:16,-0.073960505,-0.449648713
4/1/2020 1:31,0.115101083,-0.422980033
4/1/2020 1:46,0.181987607,-0.397872482
4/1/2020 2:01,-0.056345542,-0.372622596
4/1/2020 2:16,-0.057463091,-0.345382931
4/1/2020 2:31,-0.104302694,-0.31786673
4/1/2020 2:46,-0.036438505,-0.290294115
4/1/2020 3:01,0.010358562,-0.261738479
4/1/2020 3:16,-0.255773042,-0.233945167
4/1/2020 3:31,-0.11248249,-0.207355842
4/1/2020 3:46,-0.014135802,-0.181910196
4/1/2020 4:01,-0.269085412,-0.156959669
4/1/2020 4:16,0.011279632,-0.132638151
4/1/2020 4:31,-0.198589303,-0.109556037
4/1/2020 4:46,-0.094843566,-0.088039475
4/1/2020 5:01,-0.069080085,-0.068159716
4/1/2020 5:16,-0.315092346,-0.049830169
4/1/2020 5:31,-0.015527229,-0.033002775
4/1/2020 5:46,-0.126696286,-0.019222093
4/1/2020 6:01,0.431303741,-0.008388322
4/1/2020 6:16,0.461017566,-0.001968502
4/1/2020 6:31,0.936990001,-0.003509776
4/1/2020 6:46,0.847744759,-0.013636987
4/1/2020 7:01,1.992070132,-0.034662591
4/1/2020 7:16,2.202649876,-0.061817548
4/1/2020 7:31,2.426509464,-0.092465491
4/1/2020 7:46,2.42495895,-0.127767913
4/1/2020 8:01,2.442082129,-0.165988944
4/1/2020 8:16,2.426962965,-0.206754023
4/1/2020 8:31,2.35861856,-0.249361267
4/1/2020 8:46,2.381434321,-0.293373806
4/1/2020 9:01,2.395135723,-0.339655123
4/1/2020 9:16,2.159111451,-0.389032386
4/1/2020 9:31,2.161137566,-0.440692215
